Initial Value,Second Spin Choice,Contestant 1 Win %,Contestant 2 Win %,Contestant 3 Win %
0.05,Yes,20.898,34.579,44.523
0.05,No,0.0883,34.4998,65.4119
0.1,Yes,19.9397,34.9995,45.0608
0.1,No,0.1052,36.16,63.7348
0.15000000000000002,Yes,20.5244,34.6019,44.8737
0.15000000000000002,No,0.1699,37.6253,62.204800000000006
0.2,Yes,20.1517,34.5578,45.2905
0.2,No,0.29650000000000004,39.128,60.575500000000005
0.25,Yes,20.09,34.2636,45.6464
0.25,No,0.5183,40.359899999999996,59.1218
0.30000000000000004,Yes,20.6727,33.7289,45.5984
0.30000000000000004,No,0.9417,41.530499999999996,57.5278
0.35000000000000003,Yes,20.9455,33.068799999999996,45.9857
0.35000000000000003,No,1.5931000000000002,42.4496,55.9573
0.4,Yes,20.0975,32.901599999999995,47.0009
0.4,No,2.4946,43.289699999999996,54.2157
0.45,Yes,19.3417,32.771499999999996,47.8868
0.45,No,3.6048999999999998,43.5849,52.810199999999995
0.5,Yes,18.834600000000002,32.4288,48.7366
0.5,No,5.7296,43.5748,50.6956
0.55,Yes,19.4629,31.452400000000004,49.0847
0.55,No,8.289399999999999,43.1512,48.559400000000004
0.6000000000000001,Yes,19.537499999999998,30.8025,49.66
0.6000000000000001,No,11.8476,42.0882,46.0642
0.65,Yes,17.7757,30.9366,51.2877
0.65,No,15.679100000000002,40.7038,43.6171
0.7000000000000001,Yes,17.1828,30.5722,52.245
0.7000000000000001,No,21.9744,37.9857,40.0399
0.75,Yes,14.6693,30.989499999999996,54.3412
0.75,No,27.827,35.4777,36.695299999999996
0.8,Yes,13.44,30.886400000000002,55.6736
0.8,No,36.7952,31.260700000000003,31.9441
0.8500000000000001,Yes,11.4307,31.086999999999996,57.482299999999995
0.8500000000000001,No,47.434799999999996,26.0824,26.4828
0.9,Yes,8.2223,31.8984,59.8793
0.9,No,57.58219999999999,21.1709,21.2469
0.9500000000000001,Yes,4.5689,32.980399999999996,62.450700000000005
0.9500000000000001,No,74.1014,12.920499999999999,12.978100000000001
1.0,Yes,0.0,34.5235,65.4765
1.0,No,90.5343,4.7485,4.7172
